amortization;interest;balance;dfi;mip;payment;rent;rent_savings;home_value;equity;purchase_savings
694.44;1514.68;234722.31999999995;19.5;74.64169775999999;2303.26169776;1020.0;286001.8475805738;514969.69449342665;280247.3744934267;249349.1928238211
694.44;1510.21;234027.87999999995;19.5;74.42086583999999;2298.57086584;1020.0;287684.2620019775;515693.61154129374;281665.7315412938;250724.11484881616
694.44;1505.74;233333.43999999994;19.5;74.20003392;2293.88003392;1040.4;289343.9153689472;516418.54623330146;283085.1062333015;252099.99345930343
694.44;1501.27;232638.99999999994;19.5;73.97920199999999;2289.189202;1040.4;290913.90400112944;517144.4999999999;284505.49999999994;253476.82999999996
694.44;1496.81;231944.55999999994;19.5;73.75837007999999;2284.50837008;1040.4;292568.7125892767;517871.47427395004;285926.9142739501;254854.6258175131
694.44;1492.34;231250.11999999994;19.5;73.53753815999998;2279.81753816;1040.4;294221.1499934124;518599.47048972687;287349.35048972693;256233.38226034332
694.44;1487.87;230555.67999999993;19.5;73.31670623999999;2275.1267062399997;1040.4;295871.2128802519;519328.49008392193;288772.810083922;257613.1006788867
694.44;1483.4;229861.23999999993;19.5;73.09587431999998;2270.43587432;1040.4;297518.8979118249;520058.53449514625;290197.2944951463;258993.78242543753
694.44;1478.93;229166.79999999993;19.5;72.87504239999998;2265.7450424;1040.4;299164.20174546883;520789.6051640332;291622.80516403326;260375.42885419127
694.44;1474.47;228472.35999999993;19.5;72.65421047999999;2261.06421048;1040.4;300807.1310478795;521521.70353324123;293049.3435332413;261758.04132124683
694.44;1470.0;227777.91999999993;19.5;72.43337855999998;2256.37337856;1040.4;302447.6724670096;522254.83104745694;294476.911047457;263141.6211846096
694.44;1465.53;227083.47999999992;19.5;72.21254663999999;2251.68254664;1040.4;304085.82264609955;522988.98915339774;295905.5091533978;264526.16980419395
694.44;1461.06;226389.03999999992;19.5;71.99171471999998;2246.99171472;1040.4;305721.5782236711;523724.1792998147;297335.13929981476;265911.68854182586
694.44;1456.59;225694.59999999992;19.5;71.77088279999998;2242.3008827999997;1061.21;307334.09657992783;524460.4029374955;298765.8029374956;267298.17876124586
694.44;1452.12;225000.15999999992;19.5;71.55005087999999;2237.61005088;1061.21;308944.18430281087;525197.6615192674;300197.50151926745;268685.64182811143
694.44;1447.66;224305.7199999999;19.5;71.32921895999998;2232.9292189600005;1061.21;310458.6824351256;525935.9564999996;301630.2364999997;270074.07910999976
694.44;1443.19;223611.2799999999;19.5;71.10838703999998;2228.23838704;1061.21;312063.77769683825;526675.289336607;303064.00933660707;271463.4919764107
694.44;1438.72;222916.8399999999;19.5;70.88755511999997;2223.5475551199997;1061.21;313666.43189018517;527415.661488052;304498.8214880521;272853.88179876894
694.44;1434.25;222222.3999999999;19.5;70.66672319999998;2218.8567232;1061.21;315266.641583642;528157.0744153484;305934.67441534845;274245.24995042756
694.44;1429.78;221527.9599999999;19.5;70.44589127999998;2214.1658912800003;1061.21;316864.40334086074;528899.5295815635;307371.56958156364;275637.59780666983
694.44;1425.32;220833.5199999999;19.5;70.22505935999997;2209.4850593600004;1061.21;318459.72373472;529643.0284518215;308809.50845182163;277030.92674471234
694.44;1420.85;220139.0799999999;19.5;70.00422743999998;2204.7942274399998;1061.21;320052.5893192234;530387.5724933061;310248.4924933062;278425.23814370786
694.44;1416.38;219444.6399999999;19.5;69.78339551999997;2200.10339552;1061.21;321642.9966435303;531133.1631752636;311688.52317526366;279820.53338474786
694.44;1411.91;218750.1999999999;19.5;69.56256359999998;2195.4125636000003;1061.21;323230.94225194905;531879.8019690054;313129.6019690055;281216.8138508652
694.44;1407.44;218055.7599999999;19.5;69.34173167999997;2190.72173168;1082.43;324795.17285398114;532627.4903479115;314571.7303479116;282614.08092703694
694.44;1402.98;217361.3199999999;19.5;69.12089975999997;2186.0408997600002;1082.43;326356.91495633655;533376.2297874329;316014.90978743305;284012.3360001871
