correction;amortization;interest;balance;dfi;mip;payment;rent;rent_savings;home_value;equity;purchase_savings
0.0;1166.67;1319.3;232166.67;21.84;156.71250225000003;2664.5225022500003;1204.05;192198.05773742625;416911.07393509935;184744.40393509934;159729.73949899338
0.0;1166.67;1312.7;231000.0;21.84;155.925;2657.135;1204.05;193871.96718679328;417342.88791841123;186342.88791841123;161302.31464330654
0.0;1166.67;1306.11;229833.33;21.84;155.13749775;2649.75749775;1204.05;195540.3995151545;417775.1491513354;187941.81915133542;162875.3102022553
0.0;1166.67;1299.51;228666.67;21.84;154.35000225000002;2642.3700022500007;1204.05;197203.33847218877;418207.8580971089;189541.18809710888;164448.71661128235
0.0;1166.67;1292.91;227500.0;21.84;153.5625;2634.9825;1204.05;198860.7777869321;418641.01521944854;191141.01521944854;166022.5543062816
0.0;1166.67;1286.32;226333.33;21.84;152.77499775;2627.6049977499997;1219.1;200497.65403760067;419074.62098255137;192741.29098255138;167596.8137235983
0.0;1166.67;1279.72;225166.67;21.84;151.98750225;2620.2175022500005;1219.1;202129.0009328867;419508.6758510953;194342.00585109528;169171.48530002957
0.0;1166.67;1273.13;224000.0;21.84;151.20000000000002;2612.84;1219.1;203754.82217219606;419943.18029023946;195943.18029023946;170746.5894728251
0.0;1166.67;1266.53;222833.33;21.84;150.41249775;2605.45249775;1219.1;205313.4889126715;420378.1347656248;197544.80476562484;172322.11667968734
0.0;1166.67;1259.93;221666.67;21.84;149.62500225000002;2598.0650022500004;1219.1;206928.1496442567;420813.5397433746;199146.8697433746;173898.05735877214
0.0;1166.67;1253.34;220500.0;21.84;148.8375;2590.6875000000005;1219.1;208537.26569228363;421249.3956900949;200749.3956900949;175474.43194868922
0.0;1166.67;1246.74;219333.33;21.84;148.04999775;2583.29999775;1219.1;210140.8207226305;421685.70307287504;202352.37307287505;177051.23088850256
0.0;1166.67;1240.14;218166.67;21.84;147.26250225;2575.9125022500007;1219.1;211738.80840071017;422122.46235928807;203955.79235928805;178628.44461773077
