correction;amortization;interest;balance;dfi;mip;payment;rent;rent_savings;home_value;equity;purchase_savings
0.0;837.81;1292.66;227783.09;21.84;97.03559634;2249.3455963400006;1249.76;209797.04758148955;432741.4805530139;204958.39055301392;178993.90171983308
0.0;842.66;1287.92;226940.43;21.84;96.67662317999999;2249.0966231800003;1249.76;210999.86078553693;433189.6908168914;206249.2608168914;180257.8793678779
0.0;847.54;1283.15;226092.9;21.84;96.3155754;2248.8455754;1265.39;212187.93865831077;433638.3653127634;207545.46531276338;181527.1633939976
0.0;852.44;1278.36;225240.45;21.84;95.9524317;2248.5924317000004;1265.39;213376.90996546968;434087.5045214564;208847.05452145636;182801.80425016896
0.0;857.38;1273.54;224383.08;21.84;95.58719208;2248.3471920800002;1265.39;214566.78348113358;434537.1089242948;210154.02892429483;184081.80238883715
0.0;862.34;1268.69;223520.74;21.84;95.21983524;2248.0898352400004;1265.39;215757.54794726576;434987.1790031017;211466.43900310172;185367.2082629156
0.0;867.33;1263.82;222653.41;21.84;94.85035266;2247.8403526600005;1265.39;216949.21210573972;435437.71524019906;212784.30524019906;186658.04232578713
0.0;872.35;1258.91;221781.06;21.84;94.47873156;2247.5787315600005;1265.39;218141.76467476934;435888.71811840846;214107.65811840846;187954.33503130396
0.0;877.4;1253.98;220903.67;21.84;94.10496342;2247.32496342;1265.39;219269.41380814413;436340.1881210516;215436.51812105157;189256.10683378848
0.0;882.47;1249.02;220021.2;21.84;93.72903120000001;2247.0590312;1265.39;220463.68580897088;436792.1257319507;216770.92573195067;190563.39818803364
0.0;887.58;1244.03;219133.62;21.84;93.35092211999999;2246.8009221200005;1265.39;221658.85225304967;437244.5314354292;218110.91143542918;191876.23954930343
0.0;892.72;1239.01;218240.9;21.84;92.9706234;2246.5406234;1265.39;222854.91181201104;437697.40571631206;219456.50571631207;193194.66137333334
0.0;897.88;1233.97;217343.02;21.84;92.58812651999999;2246.27812652;1265.39;224051.86314767503;438150.74905992654;220807.72905992655;194518.68411633096
0.0;903.08;1228.89;216439.95;21.84;92.2034187;2246.0134187000003;1281.2;225233.87964677237;438604.56195210246;222164.61195210245;195848.3382349763
0.0;908.3;1223.78;215531.65;21.84;91.8164829;2245.7364829000003;1281.2;226416.75991429348;439058.84487917286;223527.19487917286;197183.66418642248
0.0;913.56;1218.65;214618.09;21.84;91.42730634;2245.4773063400003;1281.2;227600.52256039536;439513.5983279745;224895.5083279745;198524.69242829602
0.0;918.84;1213.48;213699.25;21.84;91.0358805;2245.1958805000004;1281.2;228785.14616605977;439968.82278584846;226269.57278584846;199871.44341869754
0.0;924.16;1208.29;212775.09;21.84;90.64218834;2244.93218834;1281.2;229970.64931314773;440424.51874064043;227649.42874064043;201223.957616202
0.0;929.5;1203.06;211845.59;21.84;90.24622134;2244.64622134;1281.2;231157.01055431768;440880.6866807015;229035.0966807015;202582.25547985942
0.0;934.88;1197.81;210910.71;21.84;89.84796245999999;2244.37796246;1281.2;232344.24844308;441337.3270948885;230426.6170948885;203946.3774691952
0.0;940.29;1192.52;209970.43;21.84;89.44740318;2244.09740318;1281.2;233462.29180791383;441794.44047256466;231824.01047256467;205316.3440442108
0.0;945.73;1187.2;209024.7;21.84;89.0445222;2243.8145222000003;1281.2;234651.19094400882;442252.0273036;233227.32730359997;206692.20566538398
0.0;951.2;1181.86;208073.5;21.84;88.639311;2243.539311;1281.2;235840.962218433;442710.08807837195;234636.58807837195;208073.98279366962
0.0;956.7;1176.48;207116.8;21.84;88.2317568;2243.2517568000003;1281.2;237031.59411812577;443168.6232877659;236051.8232877659;209461.70589049996
0.0;962.23;1171.07;206154.57;21.84;87.82184682;2242.96184682;1297.22;238207.04965206035;443627.63342317555;237473.06342317554;210855.40541778502
0.0;967.8;1165.63;205186.78;21.84;87.40956828;2242.6795682800002;1297.22;239383.3572733827;444087.11897650367;238900.33897650367;212255.11183791346
0.0;973.39;1160.16;204213.38;21.84;86.99489988;2242.3848998800004;1297.22;240560.50540277222;444547.08044016245;240333.70044016244;213660.8756137527
0.0;979.02;1154.65;203234.36;21.84;86.57783735999999;2242.0878373600003;1297.22;241738.4924551198;445007.51830707415;241773.15830707416;215072.70720864972
0.0;984.69;1149.12;202249.67;21.84;86.15835942000001;2241.80835942;1297.22;242917.33684177112;445468.4330706715;243218.7630706715;216490.65708643122
0.0;990.38;1143.55;201259.29;21.84;85.73645754;2241.50645754;1297.22;244097.0169447047;445929.8252248984;244670.5352248984;217914.74571140448
0.0;996.11;1137.95;200263.18;21.84;85.31211468;2241.21211468;1297.22;245277.5411369335;446391.6952642102;246128.51526421023;219345.01354835762
0.0;1001.87;1132.32;199261.31;21.84;84.88531806;2240.91531806;1297.22;246458.90777710764;446854.0436835746;247592.7336835746;220781.49106256012
0.0;1007.66;1126.65;198253.65;21.84;84.4560549;2240.6060549;1297.22;247566.81286828793;447316.8709784717;249063.2209784717;222224.2087197634
0.0;1013.49;1120.95;197240.16;21.84;84.02430816;2240.3043081600003;1297.22;248749.7776866377;447780.177644895;250540.01764489498;223673.2069862013
0.0;1019.35;1115.22;196220.8;21.84;83.59006079999999;2240.0000608000005;1297.22;249933.57985087737;448243.9641793516;252023.1641793516;225128.5263285905
0.0;1025.25;1109.46;195195.56;21.84;83.15330856;2239.70330856;1313.43;251102.0020245157;448708.2310788629;253512.6710788629;226590.17721413114
0.0;1031.18;1103.66;194164.38;21.84;82.71402588000001;2239.3940258800003;1313.43;252271.24246620515;449172.9788409652;255008.5988409652;228058.22011050727
0.0;1037.14;1097.83;193127.24;21.84;82.27220424;2239.0822042400005;1313.43;253441.29942438897;449638.2079637099;256510.9679637099;229532.6754858873
0.0;1043.14;1091.97;192084.1;21.84;81.82782660000001;2238.7778266000005;1313.43;254612.181138416;450103.9189456644;258019.81894566442;231013.58380892454
0.0;1049.17;1086.07;191034.93;21.84;81.38088017999999;2238.46088018;1313.43;255783.87582349055;450570.1122859125;259535.1822859125;232500.97554875776
0.0;1055.24;1080.14;189979.7;21.84;80.9313522;2238.1513522000005;1313.43;256956.3916899544;451036.78848405485;261057.08848405484;233994.88117501154
0.0;1061.34;1074.17;188918.36;21.84;80.47922136;2237.8292213600002;1313.43;258129.7169154487;451503.94804020954;262585.58804020955;235495.35115779698
0.0;1067.48;1068.17;187850.88;21.84;80.02447488;2237.5144748800003;1313.43;259303.85967271568;451971.59145501273;264120.71145501273;237002.41596771198
0.0;1073.65;1062.14;186777.24;21.84;79.56710423999999;2237.19710424;1313.43;260478.81812420575;452439.71922961914;265662.47922961914;238516.09607584198
0.0;1079.86;1056.07;185697.38;21.84;79.10708388;2236.87708388;1313.43;261576.09402788934;452908.33186570246;267210.95186570246;240036.45195376032
0.0;1086.1;1049.96;184611.28;21.84;78.64440528;2236.5444052800003;1313.43;262752.59248249215;453377.42986545607;268766.14986545604;241563.5040735287
0.0;1092.38;1043.82;183518.89;21.84;78.17904714000001;2236.21904714;1329.85;263913.4650601814;453847.0137315934;270328.12373159337;243097.30290769777
0.0;1098.7;1037.64;182420.19;21.84;77.71100094;2235.89100094;1329.85;265075.1298368499;454317.0839673486;271896.8939673486;244637.8689293077
0.0;1105.05;1031.43;181315.14;21.84;77.24024964;2235.56024964;1329.85;266237.58486947673;454787.6410764772;273472.5010764772;246185.24261188853
0.0;1111.44;1025.18;180203.7;21.84;76.76677620000001;2235.2267762;1329.85;267400.82819610904;455258.6855632562;275054.9855632562;247739.46442946082
0.0;1117.87;1018.9;179085.82;21.84;76.29055932;2234.90055932;1329.85;268564.8678412322;455730.21793248516;276644.39793248515;249300.58485653604
0.0;1124.34;1012.58;177961.49;21.84;120.12400575;2278.88400575;1329.85;269774.0570078545;456202.23868948634;278240.74868948635;250868.61436811718
